news_headline,news_article,news_category
"Olympic silver medallist Mirabai meets Salman, gifts him stole with sangai deer on it","Actor Salman Khan took to Twitter to share a photo of himself with Olympic silver medalist Mirabai Chanu. Sharing a picture, Salman wrote, ""Happy for you silver medalist...lovely meeting with you...best wishes always!"" Mirabai gifted Salman a stole with a sangai deer (state animal of Manipur) imprinted on it. She termed her meeting with Salman ""a dream come true"".",sports
Olympic gold winner tracks down woman who helped him when he reached wrong venue,"Jamaican hurdler Hansle Parchment tracked down and thanked a woman, a Tokyo 2020 volunteer, who paid for his taxi to the Olympic Stadium, where he won gold medal in 110m hurdles final. Parchment had reached the wrong venue last Thursday when he got on the wrong coach. Parchment thanked her and showed her the gold medal.",sports
Olympic hat-trick scorer hockey player Vandana breaks down as she hugs mother,"Vandana Katariya, the Indian women hockey player and hat-trick scorer in Tokyo Olympics, broke down as she hugged her mother on arrival at their residence in Haridwar, Uttarakhand. Vandana became the first Indian woman hockey player to score an Olympic hat-trick as India beat South Africa by 4-3 at Tokyo Olympics. Three months ago, she couldn't attend her father’s funeral.",sports
"World Athletics names 10 'magical moments' from Tokyo Olympics, includes Neeraj's win","Indian javelin thrower Neeraj Chopra's gold medal win has been featured in the World Athletics' 10 'magical moments' from Tokyo Olympics. It also includes high jumpers, Italy's Gianmarco Tamberi and Qatar's Mutaz Barshim, sharing their gold medal. Other moments include US shot-putter Ryan Crouser dedicating his gold to his late grandfather and sprinter Andre De Grasse's video call with family.",sports
Japan athlete's Olympic gold medal to be replaced after mayor bites it amid COVID-19,"Japanese athlete Miu Goto will have her medal replaced with a fresh one after the mayor of her hometown was seen biting it amid COVID-19, Tokyo 2020 organisers said. Mayor Takashi Kawamura was criticised on social media for disregarding coronavirus etiquette. He had earlier apologised, saying, ""I forgot my position as Nagoya mayor and acted in an extremely inappropriate way.""",sports
"Chinese state media morphs Olympics medal tally to show China on top, trolled","China Central Television (CCTV) morphed the Tokyo Olympics medal tally to show China on top with 42 gold medals. CCTV included medals won by Taiwan and Hong Kong in its tally. As per the official tally, China won 38 golds, while USA were on top with 39 gold medals. ""China's so insecure,"" a user wrote. ""Probably Chinese math,"" wrote another.",sports
India record their highest opening partnership in a Test at Lord's in 47 years,"India today recorded their highest opening partnership in a Test at Lord's in 47 years. Rohit Sharma and KL Rahul shared a 126-run opening stand on the first day of the second Test against England, registering India's first 100-plus opening stand in a Test at Lord's since 1974. Overall, it's India's third 100-plus first-wicket stand in Test cricket at Lord's.",sports
KL Rahul becomes 1st Team India opener to smash a Test hundred at Lord's in 31 years,KL Rahul has become the first Team India opener to smash a Test hundred at Lord's Cricket Ground in 31 years. The 29-year-old reached the three-figure mark off 212 deliveries in the first innings of the second Test on Thursday. The previous Test hundred by an Indian opener at Lord's was hit by Ravi Shastri in July 1990.,sports
"Rishabh Pant practises keeping with England’s slip cordon, picture goes viral","A picture of Team India wicketkeeper-batsman Rishabh Pant practising his keeping skills with England's slip cordon at the Lord's Cricket Ground in London has gone viral on social media. ""This guy can do anything,"" a fan commented. ""Just Pant things,"" wrote another. Another fan tweeted, ""IPL effect."" The second England-India Test started today at Lord's.",sports
"Broad shares pic after being ruled out of Tests, says 'Things can change so quickly'","England pacer Stuart Broad took to Instagram to share a post after being ruled out of the Test series against India due to calf injury. Revealing that he sustained the injury after jumping a hurdle in training, Broad said, ""Things can change so quickly...Season over & gutted to miss this India Test Series but a huge focus on Australia now.""",sports
"US sprinter Burrell, son of Olympic champs, dies at 26 in unexplained car park incident","American sprinter Cameron Burrell, son of Olympic gold medallists Leroy Burrell and Michelle Finn-Burrell, died aged 26 in an unexplained car park incident. ""We're profoundly grief-stricken and thank everyone for...outpouring of prayers. We'll forward more information when it's available,"" Leroy said. Cameron Burrell had won several golds at junior and senior competitions between 2011 and 2018.",sports
Ravichandran Ashwin not included as India announce playing XI for 2nd Test,"England have won the toss and elected to bowl first in second Test at Lord's in London. India have made one change to the team, with Ishant Sharma being preferred over Ravichandran Ashwin to replace injured Shardul Thakur. England have made three changes with Haseeb Hameed, Moeen Ali and Mark Wood replacing Zak Crawley, Dan Lawrence and Stuart Broad, respectively. ",sports
Langer involved in confrontation with CA staff member over B'desh video: Reports,Australia head coach Justin Langer and team manager Gavin Dovey were reportedly involved in heated confrontation with a Cricket Australia (CA) staff member about a video showing Bangladesh celebrating their series win. Dovey argued it was inappropriate for Bangladesh team song to be posted on a CA-operated website. The confrontation escalated when the staffer stood their ground over the issue.,sports
"It was the worst time, I blame myself: Rohit on not being picked for 2011 World Cup","India opener Rohit Sharma said being overlooked for 2011 World Cup was the worst moment of his international career. ""I was quite desperate to get into the team and do something for the team,"" he told Sky Sports. ""Somewhere down the line, I blame myself for it...Maybe I didn't have a great run slightly before that,"" said Rohit.",sports
"Long-time rivals Messi and Ramos meet for 1st time as PSG teammates, pics go viral","Long-time rivals Lionel Messi and Sergio Ramos, who joined PSG from Barcelona and Real Madrid respectively, met for the first time as teammates. Pictures of their meeting went viral on social media, with a fan writing, ""Definition of work duties...rivals but not enemies. ""This is what we were all waiting for,"" wrote another.",sports
"Messi gives thumbs up to Malayali fans after joining PSG in Paris, video goes viral","A video of six-time Ballon d'Or winner Lionel Messi giving thumbs up to Malayali fans after joining PSG in Paris has gone viral. In the video, a Malayali fan can be heard shouting 'Messi! Messi!' from a hotel balcony. ""Oh my God! I can't believe this! My hands are shaking...Nothing would beat this in my life!"" he says.",sports
"Sourav Ganguly spotted sitting with Geoffrey Boycott in stands at Lord's, pic goes viral","BCCI President Sourav Ganguly was spotted sitting with ex-England batsman Geoffrey Boycott in stands at the Lord's Cricket Ground during the first day of the second England-India Test. ""Ganguly and his biggest fan Sir Geoffery Boycott meet again,"" a fan tweeted. ""What a fantastic reunion at Lord's,"" wrote another. Notably, Boycott had given Ganguly the nickname of 'Prince of Calcutta'.",sports
Lionel Messi to be partly paid in crypto fan tokens at Paris Saint-Germain,"Six-time Ballon d'Or winner Lionel Messi, who recently joined Paris Saint-Germain on a two-year deal, will receive cryptocurrency '$PSG Fan Tokens' as a part of his financial package, the club said. Earlier, the token's value surged over 130% in five days amid speculation over Messi's arrival. Trading volumes exceeded $1.2 billion in the days preceding the move, PSG claimed.",sports
"2-yr-old boy invades pitch during football match in US, mother slips while chasing him","A video of a two-year-old boy invading pitch during a Major League Soccer match between FC Cincinnati and Orlando City went viral. In the video, the boy's mother can be seen chasing him and slipping in the process. ""The way he looks over his shoulder to check if his mom is following him is freaking hilarious,"" a YouTube user commented.",sports
Manpreet Singh shares pic of his mother wearing his Olympic bronze medal,"Indian men's hockey team captain Manpreet Singh took to Twitter to share a picture of his mother wearing his Olympic bronze medal. He wrote, ""Just seeing her smile and knowing how proud she is of me brings a smile to my face too...won’t be here today without her."" Manpreet led the team to their first Olympic medal in 41 years.",sports
US treating Pakistan differently after partnering with India: Pak PM Imran Khan,"Pakistan PM Imran Khan has said that US is treating the country differently after partnering with India. He further said that US sees Pakistan as ""useful"" only for clearing the ""mess"" it has left behind in Afghanistan. Meanwhile, Pakistan's National Security Adviser Moeed Yusuf said that the country has other options if the US continues to ignore its leadership.",world
